text,label,clean_text,source,ticker,date,label_method,label_confidence,sentiment_score,dataset_source
ADRO melemah karena harga batu bara turun dan permintaan energi melambat.,negative,adro melemah karena harga batu bara turun dan permintaan energi melambat,seed_negative,ADRO,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
ANTM turun setelah harga komoditas melemah dan permintaan ekspor melambat.,negative,antm turun setelah harga komoditas melemah dan permintaan ekspor melambat,seed_negative,ANTM,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
ASII mencatat penurunan penjualan kendaraan sehingga prospek laba tertekan.,negative,asii mencatat penurunan penjualan kendaraan sehingga prospek laba tertekan,seed_negative,ASII,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
BBCA terkoreksi akibat tekanan jual asing dan kekhawatiran perlambatan kredit.,negative,bbca terkoreksi akibat tekanan jual asing dan kekhawatiran perlambatan kredit,seed_negative,BBCA,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
BBNI turun karena pasar mencermati potensi kenaikan biaya pencadangan kredit.,negative,bbni turun karena pasar mencermati potensi kenaikan biaya pencadangan kredit,seed_negative,BBNI,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
"Asing Masih Jual Big Bank, BBRI Kehilangan Rp127,29 miliar, BBCA? - KabarBursa.com",negative,asing masih jual big bank bbri kehilangan rp miliar bbca kabarbursa com,KabarBursa.com,BBRI,2026-06-22,bootstrap_tugas_nlp_ai_trading,0.5574,-0.65,market_issues
"IHSG ambles 3,56% imbas putusan MSCI, rupiah mendekati Rp18.000 - IDNFinancials.com",negative,ihsg ambles imbas putusan msci rupiah mendekati rp idnfinancials com,IDNFinancials.com,BBRI,2026-06-24,bootstrap_tugas_nlp_ai_trading,0.5853,-0.65,market_issues
BBRI melemah setelah investor merespons negatif kenaikan risiko kredit bermasalah.,negative,bbri melemah setelah investor merespons negatif kenaikan risiko kredit bermasalah,seed_negative,BBRI,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
BMRI terkoreksi setelah analis menurunkan proyeksi pertumbuhan laba.,negative,bmri terkoreksi setelah analis menurunkan proyeksi pertumbuhan laba,seed_negative,BMRI,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
GOTO kembali melemah karena kekhawatiran rugi bersih dan arus kas negatif.,negative,goto kembali melemah karena kekhawatiran rugi bersih dan arus kas negatif,seed_negative,GOTO,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
"IHSG Anjlok 3 Persen, Tekanan Rupiah dan MSCI Diduga Jadi Penyebab - Kompas.id",negative,ihsg anjlok persen tekanan rupiah dan msci diduga jadi penyebab kompas id,Kompas.id,IHSG,2026-06-24,bootstrap_tugas_nlp_ai_trading,0.5835,-0.65,market_issues
IHSG melemah karena tekanan suku bunga global dan aksi jual asing meningkat.,negative,ihsg melemah karena tekanan suku bunga global dan aksi jual asing meningkat,seed_negative,IHSG,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
Investor mengurangi posisi saham berisiko setelah data ekonomi global mengecewakan.,negative,investor mengurangi posisi saham berisiko setelah data ekonomi global mengecewakan,seed_negative,IHSG,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
Pasar saham dibayangi sentimen negatif dari kenaikan yield obligasi Amerika Serikat.,negative,pasar saham dibayangi sentimen negatif dari kenaikan yield obligasi amerika serikat,seed_negative,IHSG,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
Rupiah tertekan dan pasar saham terkoreksi tajam pada sesi perdagangan hari ini.,negative,rupiah tertekan dan pasar saham terkoreksi tajam pada sesi perdagangan hari ini,seed_negative,IHSG,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
MDKA terkoreksi setelah harga emas dan tembaga bergerak negatif.,negative,mdka terkoreksi setelah harga emas dan tembaga bergerak negatif,seed_negative,MDKA,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
TLKM menghadapi tekanan margin karena kompetisi tarif semakin ketat.,negative,tlkm menghadapi tekanan margin karena kompetisi tarif semakin ketat,seed_negative,TLKM,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
UNVR melemah karena margin turun dan biaya bahan baku meningkat.,negative,unvr melemah karena margin turun dan biaya bahan baku meningkat,seed_negative,UNVR,2026-07-03,manual_seed_label,1.0,-0.65,seed_examples
ADRO menyampaikan laporan produksi dan penjualan secara berkala.,neutral,adro menyampaikan laporan produksi dan penjualan secara berkala,seed_neutral,ADRO,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
"Analis Buka-Bukaan Soal Prospek Saham ANTM, Target Segini! - CNBC Indonesia",neutral,analis buka bukaan soal prospek saham antm target segini cnbc indonesia,CNBC Indonesia,ANTM,2026-07-03,bootstrap_tugas_nlp_ai_trading,0.6425,0.0,market_issues
ANTM menyampaikan laporan operasional bulanan kepada publik.,neutral,antm menyampaikan laporan operasional bulanan kepada publik,seed_neutral,ANTM,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
ASII mengumumkan perubahan susunan komite perusahaan.,neutral,asii mengumumkan perubahan susunan komite perusahaan,seed_neutral,ASII,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
BBCA menyampaikan jadwal rapat umum pemegang saham tahunan.,neutral,bbca menyampaikan jadwal rapat umum pemegang saham tahunan,seed_neutral,BBCA,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
BBNI menyampaikan jadwal pembagian dividen kepada pemegang saham.,neutral,bbni menyampaikan jadwal pembagian dividen kepada pemegang saham,seed_neutral,BBNI,2026-07-03,manual_seed_label,1.0,0.0,seed_examples
"Dividen BBRI Cum Date Hari Ini, Berapa Bagian Direksi dan Publik? - Ajaib",neutral,dividen bbri cum date hari ini berapa bagian direksi dan publik ajaib,Ajaib,BBRI,2026-04-20,bootstrap_tugas_nlp_ai_trading,0.6111,0.0,market_issues
"BBRI Masuki Periode Ex-Date Dividen, Apa yang Perlu Diketahui Investor? - Ajaib",neutral,bbri masuki periode ex date dividen apa yang perlu diketahui investor ajaib,Ajaib,BBRI,2026-04-21,bootstrap_tugas_nlp_ai_trading,0.5774,0.0,market_issues
"Saham BBCA dan BBRI Catat Rekor Terlemah 5 Tahun Terakhir, Cek Rekomendasi Analis - TradingView",neutral,saham bbca dan bbri catat rekor terlemah tahun terakhir cek rekomendasi analis tradingview,TradingView,BBRI,2026-06-04,bootstrap_tugas_nlp_ai_trading,0.5529,0.0,market_issues
Cara Investasi Saham BRI untuk Pemula: Panduan Lengkap & OJK 2026 - Pluang,neutral,cara investasi saham bri untuk pemula panduan lengkap ojk pluang,Pluang,BBRI,2026-06-09,bootstrap_tugas_nlp_ai_trading,0.6658,0.0,market_issues
"Ada BBRI dan ASII, Intip Saham yang Jadi Sasaran Jual Asing Sepekan Terakhir - kontan.co.id",neutral,ada bbri dan asii intip saham yang jadi sasaran jual asing sepekan terakhir kontan co id,kontan.co.id,BBRI,2026-06-20,bootstrap_tugas_nlp_ai_trading,0.6255,0.0,market_issues
